Title,Job_Description,Platform,Link,Date,Company_Name,City,Remote,experience_bucket,experience_reasoning,skills
Junior Research Analyst,(Entry-Level | No Prior Experience Required) StoreNext is a leading technology company specializing in research and market data analysis within Israel...,Indeed,https://www.indeed.com/viewjob?jk=466348bfe369d377,2026-03-02,StoreNext,"Tel Aviv-Yafo, Tel Aviv District, Israel",0.0,0+,Explicit Years,"Excel, Management Skills, Presentation Skills"
Junior Research Analyst,(Entry-Level | No Prior Experience Required) StoreNext is a leading technology company specializing in research and market data analysis within Israel...,Indeed,https://www.indeed.com/viewjob?jk=241e7d5657b0a7d0,2026-03-02,StoreNext,"Raanana, Center District, Israel",0.0,0+,Title Keyword,"Excel, Management Skills, Presentation Skills"
Junior Research Analyst,(Entry-Level | No Prior Experience Required) StoreNext is a leading technology company specializing in research and market data analysis within Israel...,Indeed,https://www.indeed.com/viewjob?jk=c54a7af776fda9d4,2026-03-02,StoreNext,"Judean Foothills, Center District, Israel",0.0,0+,Title Keyword,"Excel, Management Skills, Presentation Skills"
Junior Research Analyst,(Entry-Level | No Prior Experience Required)StoreNext is a leading technology company specializing in research and market data analysis within Israel’...,LinkedIn,https://il.linkedin.com/jobs/view/junior-research-analyst-at-storenext-4405122252,2026-04-27,StoreNext,"Petah Tikva, Center District, Israel",0.0,0+,Title Keyword,"Excel, Management Skills, Presentation Skills"
Junior Research Analyst,(Entry-Level | No Prior Experience Required)StoreNext is a leading technology company specializing in research and market data analysis within Israel’...,LinkedIn,https://il.linkedin.com/jobs/view/junior-research-analyst-at-storenext-4376645242,2026-03-01,StoreNext,"Petah Tikva, Center District, Israel",0.0,0+,Title Keyword,"Excel, Management Skills, Presentation Skills"
SOC Analyst (Part Time) - 235851,A defense-tech company in Holon is hiring a Part-Time SOC Analyst! 🚨 Approximately 3 shifts per week (may change over time)We’re looking for a motivat...,LinkedIn,https://il.linkedin.com/jobs/view/soc-analyst-part-time-235851-at-experis-israel-4286370746,2026-04-30,Experis,"Holon, Tel Aviv District, Israel",0.0,0+,Title Keyword,
Associate Attorney - High-Tech Department (Post-Clerkship),A leading law firm seeks a highly motivated and detail-oriented Associate Attorney to join our thriving High-Tech Department. This role is ideal for a...,LinkedIn,https://il.linkedin.com/jobs/view/associate-attorney-high-tech-department-post-clerkship-at-jobsseek-4384254310,2026-03-13,JobsSeek,"Tel Aviv-Yafo, Tel Aviv District, Israel",0.0,0+,Explicit Years,"Excel, English, Hebrew"
Junior Technical Consultant,"A stable and established company specializing in IT Operations Management (ITOM), providing advanced solutions for IT system management and mapping. T...",LinkedIn,https://il.linkedin.com/jobs/view/junior-technical-consultant-at-dialog-4408820273,2026-05-06,Dialog,"Center District, Israel",0.0,0+,Title Keyword,"Python, JavaScript, Bash"
"Strategy Analyst (Bangkok Based, Relocation Provided)","About AgodaAt Agoda, we bridge the world through travel. Our story began in 2005, when two lifelong friends and entrepreneurs, driven by their passion...",LinkedIn,https://il.linkedin.com/jobs/view/strategy-analyst-bangkok-based-relocation-provided-at-agoda-4410535455,2026-06-09,Agoda,"Tel Aviv-Yafo, Tel Aviv District, Israel",0.0,0+,Explicit Years,"SQL, R, Python, Machine Learning, A/B Testing, Presentation Skills"
"Strategy Analyst (Bangkok Based, Relocation Provided)","About AgodaAt Agoda, we bridge the world through travel. Our story began in 2005, when two lifelong friends and entrepreneurs, driven by their passion...",LinkedIn,https://il.linkedin.com/jobs/view/strategy-analyst-bangkok-based-relocation-provided-at-agoda-4410541330,2026-05-28,Agoda,"West Jerusalem, Jerusalem District, Israel",0.0,0+,Explicit Years,"A/B Testing, Machine Learning, SQL, R, Python, Presentation Skills"
